Date,Open,High,Low,Close,Volume,Change,20d_MA
2016-05-27,136000,136500,135000,136000,346406,0.007407407407407307,137150.0
2016-05-30,136000,137500,135000,136500,474129,0.003676470588235281,136575.0
2016-05-31,136500,139500,135000,139500,1734508,0.0219780219780219,136375.0
2016-06-01,137500,138500,136500,138000,507997,-0.010752688172043001,136150.0
2016-06-02,138500,139000,136500,138000,419054,0.0,135925.0
2016-06-03,138000,139500,137500,138500,352778,0.0036231884057971175,135900.0
2016-06-07,138500,139500,137500,139500,608452,0.0072202166064982976,136100.0
2016-06-08,138500,141500,138500,139500,598656,0.0,136100.0
2016-06-09,139500,140500,137500,139000,578177,-0.0035842293906810374,136100.0
2016-06-10,138500,140000,138000,139000,350588,0.0,136225.0
2016-06-13,138000,138500,135500,135500,476958,-0.025179856115107868,136250.0
2016-06-14,135500,138500,135000,138500,431039,0.022140221402213944,136400.0
2016-06-15,138000,139500,135000,135500,409607,-0.02166064981949456,136450.0
2016-06-16,135500,136000,133500,134500,399199,-0.0073800738007380184,136525.0
2016-06-17,136000,136500,133500,134500,328695,0.0,136525.0
2016-06-20,136000,138500,135500,136500,305307,0.014869888475836479,136750.0
2016-06-21,136500,139000,135500,138000,353879,0.01098901098901095,137000.0
2016-06-22,138500,141500,138500,140000,413267,0.01449275362318847,137325.0
2016-06-23,140500,141500,140000,141000,273960,0.0071428571428571175,137625.0
2016-06-24,140500,142000,134500,139500,901574,-0.010638297872340385,137850.0
2016-06-27,141000,144000,139500,141500,1031506,0.014336917562723928,138125.0
2016-06-28,141500,142000,138500,139000,570526,-0.017667844522968212,138250.0
2016-06-29,140000,140000,137500,139000,436045,0.0,138225.0
2016-06-30,138000,138500,135500,135500,1025974,-0.025179856115107868,138100.0
2016-07-01,136500,138000,136000,137000,388387,0.011070110701107083,138050.0
2016-07-04,138000,139500,137000,137000,518981,0.0,137975.0
2016-07-05,136500,137000,134500,135000,389267,-0.014598540145985384,137750.0
2016-07-06,134000,134500,129000,130000,1098353,-0.03703703703703709,137275.0
2016-07-07,131500,132500,130500,131000,351312,0.007692307692307665,136875.0
2016-07-08,131000,133000,129000,130500,472095,-0.003816793893129722,136450.0
2016-07-11,130500,132000,130500,131000,395952,0.003831417624521105,136225.0
2016-07-12,131500,133000,131000,132000,401323,0.007633587786259444,135900.0
2016-07-13,133000,135500,132500,135500,567236,0.026515151515151603,135900.0
2016-07-14,134000,134500,131000,131500,688220,-0.029520295202952074,135750.0
2016-07-15,132000,134000,132000,133000,608594,0.011406844106463865,135675.0
2016-07-18,133000,134000,131000,132000,417748,-0.007518796992481258,135450.0
2016-07-19,131500,132000,130000,130000,630163,-0.015151515151515138,135050.0
2016-07-20,129500,131000,129000,129500,513880,-0.0038461538461538325,134525.0
2016-07-21,130000,131000,128500,130000,459440,0.0038610038610038533,133975.0
