Open,High,Low,Close,Volume,Change,20d_MA
18720,18800,18540,18800,449733,0.008583690987124415,17908.0
18800,18900,18780,18900,334749,0.005319148936170137,17947.0
18960,18960,18700,18900,238698,0.0,17993.0
18800,18840,18300,18460,550378,-0.023280423280423235,18026.0
18500,18700,18100,18180,436076,-0.015167930660888396,18069.0
18220,18280,17900,17960,521299,-0.012101210121012063,18105.0
17960,18140,17760,17880,412638,-0.0044543429844098315,18099.0
17720,17800,17640,17640,316036,-0.01342281879194629,18121.0
17740,18020,17600,18020,332860,0.02154195011337867,18136.0
18000,18000,17680,18000,505624,-0.0011098779134295356,18146.0
17960,17980,17640,17760,446008,-0.013333333333333308,18143.0
17820,17840,17320,17340,549291,-0.023648648648648685,18120.0
17060,17500,17060,17500,462304,0.009227220299884653,18120.0
17780,18320,17720,18320,641519,0.04685714285714293,18163.0
18600,18739,18360,18560,541665,0.013100436681222627,18211.0
18480,18540,18040,18080,377225,-0.025862068965517238,18205.0
18020,18220,17780,17780,287621,-0.0165929203539823,18178.0
17980,17980,17600,17940,384355,0.008998875140607376,18159.0
18340,18540,18220,18480,528108,0.030100334448160515,18157.0
18480,18540,17980,18000,416427,-0.025974025974025983,18125.0
18020,18160,17600,17860,429874,-0.007777777777777772,18078.0
18200,18740,18080,18640,651726,0.043673012318029114,18065.0
18720,18800,18440,18760,507510,0.006437768240343367,18058.0
18600,18680,18000,18300,515717,-0.024520255863539453,18050.0
17980,18280,17900,17980,473222,-0.01748633879781425,18040.0
18160,18220,17820,17820,271573,-0.008898776418242438,18033.0
17780,17900,17640,17840,447932,0.001122334455667895,18031.0
17720,18020,17660,17700,552942,-0.007847533632286963,18034.0
17920,18480,17800,18320,669154,0.03502824858757059,18049.0
18340,18380,17960,18020,322905,-0.01637554585152834,18050.0
17940,17960,17780,17800,231293,-0.01220865704772478,18052.0
17860,17980,17720,17860,331824,0.003370786516853963,18078.0
17820,17960,17600,17600,387733,-0.014557670772676334,18083.0
17700,17740,17600,17640,221517,0.002272727272727204,18049.0
17540,17700,17440,17460,282045,-0.010204081632653073,17994.0
17440,17680,17300,17300,290181,-0.009163802978235935,17955.0
17580,17580,17060,17120,320945,-0.010404624277456698,17922.0
17360,17600,17300,17580,279740,0.026869158878504606,17904.0
17480,17980,17340,17820,430296,0.013651877133105783,17871.0
17900,17900,17520,17680,205979,-0.007856341189674487,17855.0
17800,18280,17720,18040,478089,0.020361990950226172,17864.0
18040,18240,17900,18220,313832,0.009977827050997812,17843.0
17880,17940,17600,17660,331899,-0.03073545554335899,17788.0
17800,17800,17540,17700,201472,0.0022650056625141968,17758.0
17520,17780,17380,17740,303586,0.002259887005649608,17746.0
17700,17800,17500,17540,258873,-0.011273957158962844,17732.0
17540,17580,17300,17300,434119,-0.013683010262257711,17705.0
17400,17480,17020,17020,392575,-0.016184971098265888,17671.0
16880,17060,16760,17060,301387,0.00235017626321965,17608.0
17020,17460,16960,17260,213419,0.011723329425556761,17570.0
